tourney_name,winner_name,loser_name,minutes
US Open,Joao Sousa,Frank Dancevic,212.0
US Open,Roberto Bautista Agut,Andreas Haider Maurer,232.0
US Open,Andrey Kuznetsov,Fernando Verdasco,192.0
US Open,Tommy Robredo,Simone Bolelli,217.0
US Open,Victor Estrella,Borna Coric,191.0
US Open,Milos Raonic,Peter Gojowczyk,186.0
US Open,Tomas Berdych,Martin Klizan,225.0
US Open,Dominic Thiem,Ernests Gulbis,225.0
US Open,Marcel Granollers,Ivo Karlovic,231.0
US Open,Philipp Kohlschreiber,John Isner,189.0
US Open,Stan Wawrinka,Tommy Robredo,181.0
US Open,Kei Nishikori,Milos Raonic,259.0
US Open,Marin Cilic,Gilles Simon,253.0
US Open,Novak Djokovic,Andy Murray,212.0
US Open,Kei Nishikori,Stan Wawrinka,255.0
US Open,Roger Federer,Gael Monfils,200.0
Valencia,Andy Murray,Tommy Robredo,200.0
Australian Open,Go Soeda,Elias Ymer,207.0
Australian Open,Feliciano Lopez,Denis Kudla,194.0
Australian Open,Vasek Pospisil,Sam Querrey,183.0
Australian Open,Sergiy Stakhovsky,Dusan Lajovic,211.0
Australian Open,Thanasi Kokkinakis,Ernests Gulbis,247.0
Australian Open,Kevin Anderson,Diego Schwartzman,215.0
Australian Open,Ricardas Berankis,Igor Sijsling,198.0
Australian Open,James Duckworth,Blaz Kavcic,225.0
Australian Open,Lukas Rosol,Kenny De Schepper,197.0
Australian Open,Dudi Sela,Jan Lennard Struff,208.0
Australian Open,Marinko Matosevic,Alexander Kudryavtsev,208.0
Australian Open,Marcos Baghdatis,Teymuraz Gabashvili,217.0
Australian Open,Lukas Lacko,Maximo Gonzalez,206.0
Australian Open,Malek Jaziri,Mikhail Kukushkin,184.0
Australian Open,Nick Kyrgios,Federico Delbonis,188.0
Australian Open,Jerzy Janowicz,Gael Monfils,187.0
Australian Open,Benjamin Becker,Lleyton Hewitt,182.0
Australian Open,Vasek Pospisil,Paolo Lorenzi,215.0
Australian Open,Bernard Tomic,Philipp Kohlschreiber,185.0
Australian Open,Rafael Nadal,Tim Smyczek,252.0
Australian Open,David Ferrer,Gilles Simon,217.0
Australian Open,Grigor Dimitrov,Marcos Baghdatis,208.0
Australian Open,Milos Raonic,Feliciano Lopez,185.0
Australian Open,Stan Wawrinka,Guillermo Garcia Lopez,182.0
Australian Open,Andy Murray,Grigor Dimitrov,212.0
Australian Open,Nick Kyrgios,Andreas Seppi,214.0
Australian Open,Novak Djokovic,Stan Wawrinka,210.0
Australian Open,Andy Murray,Tomas Berdych,206.0
Australian Open,Novak Djokovic,Andy Murray,219.0
Rio de Janeiro,Joao Souza,Blaz Rola,182.0
Rio de Janeiro,Fabio Fognini,Federico Delbonis,192.0
Casablanca,Carlos Berlocq,Pablo Carreno Busta,187.0
Houston,Kevin Anderson,Jeremy Chardy,188.0
Munich,Andy Murray,Philipp Kohlschreiber,184.0
Madrid Masters,Marcel Granollers,Gael Monfils,200.0
Roland Garros,Gilles Muller,Paolo Lorenzi,242.0
Roland Garros,Carlos Berlocq,Illya Marchenko,248.0
