tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1974-338,Sydney,Grass,48,A,19731231,268,100090,,,Dick Crealy,R,191,AUS,29.2,100154,,,Peter Kanderal,R,,SUI,25.9,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,51,,138,
2001-418,Washington,Hard,56,A,20010813,47,104053,9,,Andy Roddick,R,188,USA,18.9,103103,5,,Dominik Hrbaty,R,183,SVK,23.6,6-2 7-5,3,R16,73,12,2,61,36,30,15,10,4,4,6,7,67,28,19,20,10,5,8,30,1152,22,1300
2003-D080,Davis Cup WG PO: GER vs BLR,Clay,4,D,20030919,2,102783,,,Rainer Schuettler,R,180,GER,27.3,103166,,,Vladimir Voltchkov,R,180,BLR,25.4,6-3 3-6 6-7(3) 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,,8,2495,78,467
1988-321,Stuttgart Outdoor,Clay,48,A,19880711,14,100857,,,Sergio Casal,R,185,ESP,25.8,101243,,Q,Roberto Azar,L,185,ARG,22.3,6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,,74,,256,
1985-D006,Davis Cup WG R1: YUG vs AUS,Clay,4,D,19850308,2,100946,,,Slobodan Zivojinovic,R,198,YUG,21.6,101138,,,Pat Cash,R,183,AUS,19.7,7-5 5-7 10-8 6-4,5,RR,,,,,,,,,,,,,,,,,,,,121,,9,
2018-0425,Barcelona,Clay,64,A,20180423,267,104198,,,Guillermo Garcia Lopez,R,188,ESP,34.8,105216,,,Yuichi Sugita,R,173,JPN,29.5,7-6(5) 7-6(5),3,R64,147,7,5,100,60,40,21,12,11,14,3,2,112,67,37,26,12,7,10,69,789,42,1154
1972-313,Bristol,Grass,32,A,19720617,25,100020,,,Alejandro Olmedo,R,178,PER,36.2,109837,,,John De Mendoza,R,,GBR,22.8,6-4 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1999-D063,Davis Cup G2 PO: KAZ vs SRI,Hard,4,D,19990402,2,108592,,,Pavel Baranov,R,,KAZ,18.3,108836,,,Jayendra Wijeyesekera,U,,SRI,29.2,5-7 4-6 6-4 6-1 6-1,5,RR,,,,,,,,,,,,,,,,,,,,,,,
2019-0337,Vienna,Hard,32,A,20191021,296,126610,3,,Matteo Berrettini,R,196,ITA,23.5,126094,,,Andrey Rublev,R,188,RUS,22.0,7-5 7-6(4),3,QF,111,8,1,76,52,42,14,12,3,3,2,5,80,53,39,14,12,3,4,11,2545,22,1571
2015-D051,Davis Cup G2 R1: IRL vs BLR,Hard,4,D,20150306,4,106078,,,Egor Gerasimov,R,196,BLR,22.3,105909,,,Sam Barry,R,,IRL,23.0,7-6(6) 6-2,3,RR,,,,,,,,,,,,,,,,,,,,246,202,347,128
2011-404,Indian Wells Masters,Hard,96,M,20110310,81,104745,1,,Rafael Nadal,L,185,ESP,24.7,104500,,Q,Somdev Devvarman,R,180,IND,26.0,7-5 6-4,3,R16,115,0,2,68,40,28,18,11,2,3,4,4,72,54,34,5,11,6,9,1,12390,84,585
1992-440,Rosmalen,Grass,32,A,19920608,10,101510,,,Henrik Holm,R,183,SWE,23.7,101567,,Q,Hendrik Jan Davids,L,183,NED,23.3,6-3 6-4,3,R32,84,3,4,61,25,20,20,10,4,5,0,2,64,45,26,8,9,0,3,137,263,415,43
2018-0425,Barcelona,Clay,64,A,20180423,292,105373,,Q,Martin Klizan,L,190,SVK,28.7,103852,12,,Feliciano Lopez,L,188,ESP,36.5,6-1 6-4,3,R16,77,5,1,68,47,31,11,9,2,3,1,3,39,21,11,8,8,1,5,140,396,30,1420
1982-348,Frankfurt,Carpet,32,A,19820329,9,100261,6,,Brian Gottfried,R,183,USA,30.1,100252,,,Tim Gullikson,R,180,USA,30.5,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,24,,66,
1998-560,US Open,Hard,128,G,19980831,15,101703,,,Guillaume Raoux,R,180,FRA,28.5,102765,,,Nicolas Escude,R,185,FRA,22.4,6-3 3-6 6-3 1-6 7-6(6),5,R128,34,7,7,171,91,67,42,23,12,15,18,7,176,90,76,43,23,3,5,45,933,39,1067
1988-580,Australian Open,Hard,128,G,19880111,47,101154,,,Simon Youl,R,185,AUS,22.5,101377,,,Christian Bergstrom,R,180,SWE,20.4,3-6 6-3 6-4 1-6 6-1,5,R128,,,,,,,,,,,,,,,,,,,,120,,73,
