ranking_date,rank,player,points
19910429,277,101059,75
19970804,654,102315,24
19930614,271,101473,111
20121126,1413,104311,2
20011008,555,103701,34
20060724,1429,104563,2
19880822,487,101965,
20021118,571,103158,30
20190408,636,202385,3
20180723,1161,207728,6
20091005,1392,121313,2
19911230,753,101261,
19891211,1080,100619,
20020107,547,103708,35
20161212,869,105407,17
20050704,1487,105077,1
19920622,1082,106736,2
20080310,452,105099,65
20161107,430,103990,93
20170417,1768,202075,1
20180507,1136,104738,6
20200120,186,123755,269
20040412,1167,109504,3
19951113,410,102236,63
19890814,76,101393,
20100809,1425,105497,1
20030818,406,104371,64
20240108,1995,212220,1
19921207,729,107799,9
20140505,115,105077,511
19840813,270,100472,
20030630,789,102835,12
19980629,316,102577,122
19861110,644,101047,
20081222,1320,104182,3
20000731,47,102905,791
20201026,504,122109,63
20130527,269,103401,169
20001030,1143,103988,3
20151207,1773,105157,1
20220829,81,126952,646
20000821,1156,103721,3
20001204,267,102809,121
20071231,1479,119649,1
20180514,59,105916,889
20140512,133,103566,435
19990726,259,102168,155
20100726,225,103676,202
20110808,198,105311,264
20060925,1273,110615,3
19911104,914,101664,4
20070702,902,103111,11
20080922,547,105038,46
19861020,700,107395,
20040419,373,102184,81
20170227,880,104789,17
20100111,455,104579,73
19790122,70,100130,
20170501,207,126774,259
20140217,1244,110599,5
19860317,612,100375,
20211227,1260,208265,6
20031013,1440,103072,1
20040329,696,102087,19
20120611,1031,104961,7
20040607,908,104454,9
20030113,365,103457,70
20111205,1433,104004,2
20031215,1432,102692,1
19991004,15,101611,1794
19860519,715,101041,
19930628,215,100865,
20170828,309,120775,159
20130610,715,104453,26
20120227,452,106123,77
19980202,1116,102274,4
19860224,783,101367,
20100705,1443,104086,1
20210426,169,105614,425
20080721,969,103996,10
19990705,1306,103508,1
19970414,18,101793,1452
20061106,368,104453,91
19870921,428,100904,
20150105,84,103720,595
20161024,1144,134816,7
20020708,221,102630,162
19940509,746,101452,13
19931227,230,101745,
20231113,1182,133224,6
19980126,1294,100273,
20140707,1006,123997,11
20211115,1738,209061,1
20130617,168,106032,309
20061204,609,104317,36
20050620,78,102905,518
20210412,1383,123961,3
20090803,291,104195,186
20070108,1541,104352,1
20040823,133,103527,320
20040913,1416,108629,1
20090608,1610,121242,2
19951106,1067,107689,4
19900716,1028,102002,1
19981109,1325,111610,1
20211115,1705,202287,2
20111024,1740,104746,1
20000327,965,103790,6
20030630,65,103694,638
19961230,369,103193,85
20200203,538,105954,49
20031201,322,103748,102
20060306,388,103734,77
20100208,302,105723,141
20201228,785,131951,22
20110117,1431,106133,1
20160111,1896,127397,1
20171030,1975,144913,1
20100927,1313,108698,2
20030811,1378,109270,1
19980216,1367,109510,1
19980223,390,102904,80
19911125,543,101673,24
20060403,434,104532,64
20190304,487,209506,
19870504,818,101427,
19890313,753,101738,
19970721,1048,103243,5
20200824,1028,105986,9
20090406,1554,101303,2
20050815,650,104508,27
19780227,52,100276,
20051128,1363,108771,2
19940103,992,101755,
19900108,799,101658,6
20030915,330,104182,96
20000529,413,101731,62
20060814,935,104026,11
20131216,481,105432,74
20161205,434,105542,93
20140224,19,105668,1750
20230320,673,208267,39
20210503,1396,133177,3
20020318,749,102791,14
20010122,257,103581,133
19890116,719,101206,
20130204,1674,123965,1
20141124,1714,103921,1
19980209,723,102544,18
20190520,431,105047,24
20050725,1468,109304,1
20090309,1908,120011,2
20131014,1296,105801,4
20170814,958,133224,13
19930621,1055,122791,3
19910304,722,102210,8
19920824,341,101757,61
20141027,1506,104601,2
19900122,339,101474,
19920427,1115,102075,1
20150216,424,104695,94
20231023,875,200574,20
20130909,77,105077,660
19960115,665,104440,19
20000320,30,102434,1041
20240401,1858,210441,1
20071217,680,104656,25
20050221,374,104515,80
20090126,55,103344,1376
20100125,81,104332,582
20160229,2085,126159,1
20060612,990,105097,8
20100329,608,104079,36
19970113,620,101253,24
20020401,538,104071,37
19750414,383,107374,
20220404,161,106283,383
19841008,575,107521,
20100816,488,105579,63
20100621,668,102822,27
20190520,18,105932,1925
19950313,888,101121,8
19920706,834,107257,5
20130819,1883,121845,1
20090622,1231,103772,7
20010618,326,103118,90
20210719,284,106328,195
19940131,530,101713,35
20000918,1230,103352,2
19941003,1230,102444,1
20150629,141,104308,380
20160418,535,109318,65
19980323,693,102781,21
20070514,1500,105390,1
20211206,1261,108705,6
20181224,366,126174,115
20220815,1430,207232,2
20070827,15,103970,1565
20160502,976,132794,14
20220822,1323,207236,3
20080728,1503,120469,2
19850617,507,101043,
20100920,423,104587,86
20150713,1391,132518,4
20060313,516,103590,45
20120206,679,104162,26
20020408,723,103121,16
20220131,1891,134068,1
20090518,489,104315,102
20080303,971,105527,9
20240219,1537,126505,2
20170626,281,104628,177
20090921,904,104059,14
19931115,546,108230,31
20160229,887,117360,19
20030317,1336,118832,1
20140811,1751,105150,1
20041011,782,104111,14
20110912,1844,105484,1
20010115,24,102839,1130
20060213,401,104027,71
19980907,392,103507,81
19990201,637,103513,25
19910204,750,107201,
20110606,133,104978,428
19890508,425,101616,
20011022,354,102207,86
20230828,858,207595,21
20170710,585,121395,51
20071001,1484,119530,1
20071217,1384,103981,2
20200831,653,111459,32
20060213,771,104441,18
20100419,1083,104952,5
20030811,1378,104370,1
20070402,570,104850,40
20160815,1678,106041,2
20110822,1504,105957,1
19941003,57,101063,721
19990510,1296,103187,1
20000124,1298,103937,1
20180101,626,105499,42
20210830,2091,209198,1
20101213,1201,104765,3
19930913,104,101917,434
20001002,827,103551,10
19871123,944,108371,
19890821,417,100779,
20190311,397,109699,36
19940110,753,102483,15
19951120,452,101884,52
20160822,1655,122295,2
19970224,1301,109424,1
20091109,820,105789,17
19810323,85,100631,
19890116,1057,108472,
20060403,975,103904,9
19930823,188,101477,209
20090921,1714,105686,1
19900604,507,101864,
19930315,418,102065,
20020819,1029,102285,5
20100712,390,104749,92
20031215,69,102318,519
20181231,636,128065,1
20220613,1992,200093,1
20180827,1856,126493,1
20041115,497,103065,45
20110704,1737,106179,1
20060619,1410,190031,2
20131216,77,104593,650
19980216,1023,101930,6
20141201,146,105655,366
20160711,516,105288,69
20130729,535,105297,55
20161121,338,126149,141
19940905,90,101142,
20180618,207,106005,282
19960701,954,103021,
20220221,2067,208519,1
20180924,489,105894,71
19950417,136,102167,323
20090202,1396,118737,4
20081013,1517,120963,2
20211129,1612,206272,2
20090406,1431,104822,4
19970310,736,102057,16
20100719,1044,105803,6
19870105,870,101585,
20160912,944,106207,14
19940808,361,101502,85
20040419,1417,118708,1
19950320,1156,108396,2
19910909,806,101981,7
19901112,531,101610,17
19901001,447,101590,27
20230213,201,105938,297
19950403,1229,126001,1
20070910,857,102603,13
19920217,912,100937,5
20240527,1711,210662,1
19970317,348,101594,93
19781120,25,100126,
19930621,322,101691,79
20150427,117,104979,475
19990125,311,102339,112
20111017,378,105088,106
20160620,1502,106414,3
20100621,456,103687,71
20140825,652,122321,40
20131216,1387,104438,3
20040809,1236,102577,3
19900702,964,101359,
20181203,703,202227,35
20160201,1151,126214,8
20101011,882,104924,11
20140512,1444,111581,3
19860609,194,100630,
20030908,1188,104669,3
19911118,446,101180,37
20020805,1095,102769,4
20161107,1628,106284,2
20110221,1187,105104,3
19970616,560,102297,35
20130408,1171,122027,5
19990201,1310,103222,1
20050321,75,103193,518
20130715,1926,122571,1
20080818,1470,105482,2
20071105,674,103280,25
20160201,1016,134784,11
20160118,1477,103776,3
20120402,1429,106423,2
19900430,705,101677,8
19861124,199,101439,
19921102,683,102109,11
19911209,639,108161,
20060918,1555,103410,1
20180423,1677,202068,1
20040712,777,104280,15
19980323,862,103024,
20000828,871,103001,8
20160606,1471,200415,3
19930503,535,102456,27
20161128,1208,138069,6
20040112,745,104227,16
19930301,674,107116,13
20081222,1385,110626,3
19960603,989,111349,
20180924,1703,208025,1
20190722,606,200368,3
19970609,1144,101270,4
19931129,725,107293,16
20230227,413,202277,107
19961202,410,101861,66
19930517,911,106494,5
20201116,636,105814,36
19890227,815,106443,
20210301,1411,140014,3
20110704,1397,105812,2
19920907,829,102197,
19960603,1254,101031,1
20040209,1424,111315,1
20070910,1381,104631,2
20160919,41,105643,1050
20021230,1278,111482,2
19890109,491,101065,
20231106,1118,104947,8
19861208,45,100356,
20030714,373,104010,73
20180514,1480,105645,2
20231002,464,208055,92
20000619,623,101731,21
19930118,269,101597,105
19990426,1288,123322,1
20010716,529,102802,34
19841119,544,107633,
20130114,924,106426,11
20081110,228,103676,177
19860811,44,100440,
20160502,1563,121688,2
20030407,427,103161,54
19810413,95,100713,
20200302,197,104198,251
20090209,1032,105121,16
19980413,1123,103401,5
20100913,337,103805,115
19870406,677,100971,
20180115,1019,138791,10
20071119,1033,105263,7
20070730,1019,103987,7
20010423,1139,111479,3
19960715,487,102934,46
20130422,1764,123911,1
19980706,1307,103559,2
19950703,255,101761,
19890424,645,100770,
20201123,268,106105,203
19970818,163,101481,269
19910729,621,107560,16
20110718,530,104325,54
20211101,1225,208937,6
19900219,91,101066,262
20011112,1223,103792,3
20141117,475,106040,78
20150309,1851,126595,1
20130520,1302,109736,3
20150713,2018,127003,1
19860224,427,107521,
20140929,2117,122636,1
20131014,1374,126212,3
19930712,59,101920,628
20051212,1059,109061,6
20120116,838,105802,13
20090914,1545,104286,2
19890731,505,101513,
20140331,410,105472,99
19940411,116,102184,385
20030623,1116,101871,4
19851014,290,100522,
20090629,27,103852,1665
20160321,301,103720,160
20161017,741,105114,29
20101206,528,105882,53
20090511,807,103204,32
20140421,585,105574,53
20090720,872,103540,20
20010521,37,103292,945
20100712,1009,105123,7
20010820,633,102323,23
20050214,1238,103512,3
19850513,569,107418,
20030630,923,102888,7
19990222,483,101230,51
19930823,635,102204,21
19970811,1277,102393,2
19851216,737,110881,
20150525,775,144707,26
20000501,1305,103336,1
20230410,747,207732,30
20101101,133,103823,430
20210802,365,105595,124
19960819,266,102897,133
19790625,67,100436,
19820222,3,100656,
19980302,193,102464,233
19990913,1302,117642,1
20160208,1896,104623,1
20050613,1487,109469,1
20020715,474,102968,49
20220110,759,208353,28
19860915,63,100611,
20240101,540,207797,71
19920203,316,101417,
19991011,926,103710,8
20131202,721,105861,30
20091221,1101,102106,5
20140811,1492,106240,3
20100927,1521,120558,1
19930201,264,102024,106
20140623,1251,126276,5
20140915,1868,105929,1
20041220,395,104228,68
19870209,876,108517,
19900730,866,100984,3
20111107,1369,106385,2
20090622,1824,104895,1
20240226,1855,210283,1
20070326,1399,109348,2
20230320,1857,207814,1
20210621,1507,207368,3
19990322,140,102395,333
19980323,85,102146,566
19921109,760,101551,7
19970421,295,102765,121
20170814,615,122606,46
19850826,332,100911,
20070312,1087,104106,6
20050613,237,103521,162
20220620,31,105936,1300
20210524,1285,202192,5
20140224,1586,110532,2
20141215,303,105386,163
19920302,326,101341,69
19920727,1081,106937,1
19950109,1091,101928,3
20101213,1001,102306,6
20101011,889,104131,10
20070115,1193,103609,4
19931213,911,102549,7
20200106,714,200594,26
20130916,295,104907,147
19830103,46,100821,
20230925,1694,210701,1
20150209,1538,105300,2
19851223,76,100836,
20050919,1412,104286,2
19980112,334,102077,103
20221017,977,208305,11
20210927,1625,206450,2
20191028,1612,209138,1
19980803,1332,111266,1
20000612,1313,103190,1
19900618,1038,101579,1
20091005,1799,104832,1
20190311,272,106348,162
20051226,432,102579,61
19930823,510,101097,35
20150413,1727,105544,2
20211122,1143,104672,7
20071015,964,104512,9
19970811,132,101775,338
20010514,399,102406,65
19860929,668,101236,
20100125,899,104776,11
19940808,59,101463,681
19980928,1209,102276,3
20020701,1191,103993,3
19991129,1302,102594,1
20111219,1286,106326,3
19981123,826,103195,13
20121105,1393,123780,2
20050124,1139,104434,4
20160111,605,104856,52
20050829,404,104023,71
19881212,26,101195,
20080121,1484,104773,1
19911209,636,101083,
20130225,1204,105750,5
20160425,1120,111739,8
19901112,1004,108161,1
20060515,1141,103677,5
20190729,590,106061,5
20140203,1897,125805,1
20150921,2149,132712,1
20121008,301,105464,150
20010604,272,103373,121
20220502,1615,124141,2
20191125,477,110600,64
20141208,949,104675,13
20090330,1139,118873,10
19891023,314,101991,
20130826,1900,109732,1
20050905,512,104174,48
20091221,551,105356,50
19960715,566,101280,33
20151228,943,104186,16
20100524,1158,105821,4
20020805,884,103361,9
20230925,625,207993,51
19920127,306,101957,78
20170626,1305,127187,4
