tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1993-851,Dresden CH,Clay,32,C,19930510,25,101373,,,Karsten Braasch,L,180,GER,25.8,100628,,,Michiel Schapers,R,201,NED,33.5,6-7 6-1 6-4,3,QF,,,,,,,,,,,,,,,,,,,,121,353,153,274
2004-560,US Open,Hard,128,G,20040830,190,102834,,,Paul Goldstein,R,178,USA,28.0,102785,15,,Glenn Weiner,R,188,USA,28.3,6-3 6-2,3,Q3,,,,,,,,,,,,,,,,,,,,157,269,126,354
1978-266,Kyoto CH,Clay,32,C,19781119,299,100257,1,,Ross Case,R,,AUS,27.0,100241,4,,Joel Bailey,R,,USA,27.5,6-1 1-6 6-3,3,SF,,,,,,,,,,,,,,,,,,,,88,,,
1990-730,Capetown1 CH,Hard,32,C,19900409,29,100837,4,,Jeremy Bates,R,180,GBR,27.8,101398,,,Neil Borwick,L,193,AUS,22.5,4-6 6-4 7-6,3,SF,,,,,,,,,,,,,,,,,,,,101,265,176,143
2004-75,Santa Cruz de la Sierra CH,Clay,32,C,20041115,1,102950,,,Fernando Vicente,R,180,ESP,27.6,103490,1,,Santiago Ventura,R,183,ESP,24.8,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,205,200,98,422
1989-453,Brest CH,Hard,32,C,19891023,272,101279,,,Philippe Pech,L,180,FRA,23.2,101133,,,Patrick Baur,R,188,GER,24.4,7-5 2-6 7-6,3,R32,,,,,,,,,,,,,,,,,,,,205,,175,
2003-583,Manchester CH,Grass,32,C,20030714,4,102945,,,Luke Bourgeois,R,188,AUS,26.3,103157,5,,Arvind Parmar,R,193,GBR,25.3,4-6 7-6(6) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,329,85,205,170
2019-7345,Las Vegas CH,Hard,64,C,20191014,278,105902,5,,James Duckworth,R,183,AUS,27.7,202318,,,Roy Smith,U,,USA,21.0,6-4 6-4,3,R32,78,5,1,48,19,18,22,10,0,0,5,4,63,41,28,12,10,6,8,138,380,321,129
2006-854,Bergamo CH,Carpet,32,C,20060206,13,103592,5,,Jerome Haehnel,R,185,FRA,25.5,104542,,Q,Jo-Wilfried Tsonga,R,188,FRA,20.8,7-6(7) 6-0,3,R32,,,,,,,,,,,,,,,,,,,,139,302,337,91
1998-746,Sao Paulo CH,Clay,32,C,19981012,19,102839,3,,Nicolas Lapentti,R,188,ECU,22.1,102477,,,Gaston Etlis,R,185,ARG,23.9,6-4 5-7 6-3,3,R16,,,,,,,,,,,,,,,,,,,,70,668,183,247
2019-5067,Savannah CH,Clay,64,C,20190429,287,111153,6,,Christopher Eubanks,R,201,USA,22.9,144642,,,Tomas Barrios Vera,R,191,CHI,21.3,6-2 6-3,3,R16,59,9,5,53,35,28,7,9,5,6,1,0,45,27,12,12,8,2,6,209,249,301,114
2007-443,Napoli CH,Clay,32,C,20070326,10,103487,,,Federico Luzzi,R,188,ITA,27.2,103868,,,Ivan Navarro,R,183,ESP,25.4,6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,,141,317,121,367
2023-9835,Montechiarugolo CH,Clay,32,C,20230619,282,206748,6,,Giulio Zeppieri,L,185,ITA,21.5,123847,,Q,Bogdan Bobrov,U,,RUS,25.7,6-4 6-3,3,R32,68,3,2,59,39,29,15,10,4,4,0,0,51,25,18,15,9,6,8,132,452,394,116
2008-3618,Astana CH,Hard,32,C,20081103,20,104505,,,Konstantin Kravchuk,R,190,RUS,23.6,103393,7,,Yuri Schukin,R,188,KAZ,29.3,2-6 6-3 6-2,3,R16,,,,,,,,,,,,,,,,,,,,298,120,179,242
1980-235,Porto Alegre CH,Clay,32,C,19800825,297,100221,1,,Carlos Kirmayr,R,173,BRA,29.9,100630,8,,Gustavo Guerrero,L,180,ARG,20.8,6-4 5-7 7-6,3,QF,,,,,,,,,,,,,,,,,,,,60,,,
2006-396,Furth CH,Clay,32,C,20060605,1,104252,1,,Florian Mayer,R,190,GER,22.6,103956,,,Stefan Wauters,R,,BEL,24.2,7-5 1-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,,78,538,248,153
2002-1541,Tunis CH,Clay,32,C,20020401,30,103171,5,,Raemon Sluiter,R,185,NED,23.9,102234,,,Oliver Gross,R,185,GER,28.7,7-6(5) 6-4,3,SF,,,,,,,,,,,,,,,,,,,,98,394,143,275
2020-580,Australian Open,Hard,128,G,20200120,177,104810,,,Zhe Li,R,185,CHN,33.3,106249,,,Joao Domingues,R,178,POR,26.2,6-4 6-1,3,Q2,75,0,1,69,51,34,9,9,8,9,1,1,46,25,16,7,8,1,5,206,234,171,294
2014-746,Sao Paulo CH,Hard,32,C,20131230,18,105154,7,,Joao Souza,R,193,BRA,25.5,104007,,,Andre Ghem,R,193,BRA,31.5,6-2 6-3,3,R16,72,6,0,40,33,26,6,8,0,0,4,3,65,34,21,14,9,3,7,140,406,216,218
1979-2007,Huntington Beach CH,Hard,32,C,19791002,300,100473,,,Glenn Petrovic,R,,USA,22.5,100663,,Q,Marcel Freeman,R,173,USA,19.5,6-4 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,
